,date,rating,title,review
208,Date of stay: August 2019,50,Amazing in every way,"I travelled with my wife and daughter to Macau and Hong Kong to celebrate our wedding anniversary. We stayed at multiple hotels in our trip just to relax and spend time to play with our daughter. I'm usually too busy to write a review on Tripadvisor but I feel compelled to do so this time, because I have to say, out of all the hotels we've stayed in this trip, the day we spent at the Peninsula Hong Kong was the most unforgettable one, as no other hotels could provide the same level of luxurious stay as well as impeccable service with such a personal touch at the same time.

Lovely Hazel from Guest Relations took really good care of us from check-in to check-out. We felt so pampered by her hospitality. I appreciate all the detailed thoughts she had put in to prepare the amenities in our room. It certainly made the difference and meant a lot to us!

In fact, when we were in Macau, many friends and relatives advised us to cut short of our trip and stay away from Hong Kong in such an eventful time, but we still decided to proceed as I had a lot of faith in the Peninsula. Now I'm so glad that we made the right decision because it's worth all the effort.

You can place a price tag on a trip, but a beautiful memory like this is priceless. We simply can't wait to go back to the Peninsula Hong Kong again."
209,Date of stay: June 2019,40,Nice location,"Nice location. It was Accessible to Bus, MTR & Ferries and near to some tourist spots. A bit pricey but worth the price.However there are some staff still cannot understand and speak english. We enjoyed our stay."
210,Date of stay: August 2019,50,Out of expected,"I have not stayed in The Peninsula Hotel after it has been renovated .
The rooms are very Peninsula theme, well maintained even at the main tower .

I do consider this as one of the best hotels compared to other big brands or those which I have stayed before .. one of the best !

And to ace the list , their breakfast options are definitely better than other Peninsula outlets and most of the 5 stars hotels .

Japanese food is good . Pretty authentic . It’s a pity that I didn’t have extra nights to explore the rest of the eateries in the hotel ."
211,Date of stay: July 2019,50,The Man with the Golden Gun,"Immaculate service. Everything was on point , the correspondences, transfers, check in and out, room amenities, attention to details and spectacular views. Would love to go back again! Highly recommended!"
212,Date of stay: April 2019,50,Grande Dame lived up to expectations,"We stayed for four nights during the Easter holidays with two parents, a child and grandma in two rooms. It was my first time staying at a Peninsula property and it lived up to the hype. The property is beautiful and historic, but the rooms are upgraded to a modern standard. Nail polish hand drier!! Its a great base for exploring Hong Kong - even though its not on the ""city"" side. That just means you can experience the wonderful light show from your comfortable hotel."
213,Date of stay: July 2019,50,Afternoon Tea.,"This was a treat for my wife and we really enjoyed the whole experience from the sumptious surroundings in the lobbey to the attentive staff. The array of food on offer from sweet to savoury was excellent too. There was no hurry with my wife's tea topped up om a regular basis, and my coffee replenished as I needed it. Great experience in great surroundings"
214,Date of stay: March 2019,50,THE place to stay in Hong Kong,The service is what make this place special to our family. We return year after year because the service is exceptional and refined. Also the location is hard to beat. We can't imagine staying elsewhere.
215,Date of stay: July 2019,50,Outstanding!,"Outstanding. The quality of this hotel truly deserves its reputation. Not only are rooms and facilities in a league of its own, but the real experience comes from the service. The room is constantly being looked after and set up to match the time of the day. Charging cables being wrapped, books being set up with bookmarks, minibar set up with new ice, the bathroom prepared with candles and bath salts etc. The room was well labeled and organized with all you need."
216,Date of stay: June 2019,50,Does it Get Much Better Than This?,"Staying at a Peninsula hotel has long been on my bucket list, so you can imagine how excited I was when I found out that I would be staying with my tour group at three of them during our tour throughout China (Hong Kong, Beijing, Shanghai). This was the first Peninsula hotel I stayed in and by far the one I liked the most. The level of service and attention to detail was phenomenal and I was always greeted with a smile. The afternoon tea was fabulous and I was glad that I didn't have to queue for the tea as a hotel guest, just make a reservation. My spa treatment was divine and the view of the harbor from the relaxation room was a real treat. The service I received at this hotel has definitely spoiled me. Oh well, I guess I'll have to find more Peninsula's to stay in."
217,Date of stay: July 2019,50,Every bit the iconic hotel I hoped for...,"We are traveling in Asia for five weeks with our four children and staying at all of the Peninsulas along the way. This hotel is the best of all of them.

The bright spots are a massive pool, friendly and attentive staff, amazing arcade of shops, wonderful lobby atmosphere, great rooftop bar with a view across the river. The rooms are large and have the classic wood finishing that appears elsewhere, such as Paris.

Everyone speaks English, so there is no language barrier. I couldn't imagine staying anywhere else."
218,Date of stay: August 2018,40,"Great stay, too popular and crowded","We stayed for 3 nights at the Pen before heading to Angkor. We decided to splurge and booked the VIP arrival package and were picked up at the gate after disembarking the plane, whisked through immigration, and were brought to the Rolls Royce Phantom car for the transfer to the hotel: Very nice albeit very expensive experience. We booked a deluxe room in the main wing and were upgrade to the tower with a room facing Kowloon which was very spacious but lacked character. In hindsight we should have upgraded to a harbor view to make the stay more memorable. What we liked very much: pool area with the big terrace overlooking HK and very nice staff, location is terrific and you can walk to the star ferry to get to HK Island easily. What we think could be improved: (1) breakfast: we had to wait for a table almost every day at the Verandah (buffet style breakfast), they were too busy. On the day of check-out, we decided to have a la carte breakfast at the Lobby. Our waitress was totally overwhelmed, drinks arrived late. They forgot about my mother‘s breakfast and we ran late. (2) Also, the hotel has no space in the Lobby for its guests to sit. The Lobby tends to get very crowded with tourists and visitors for the afternoon tea and you really have to fight your way through the reception. However, when we were waiting to get picked up for the airport transfer, we were a bit lost since there is nowhere for hotel guests to sit but for one sofa at the reception. Further, we found the front desk staff a bit disappointing as they did not always greet or say anything nice when you passed by but would often look down or pretend to be busy. I always wanted to stay at the Pen in HK. I must say that I enjoyed my stay very much, but would probably opt for another hotel next time which is not so busy and famous as the Pen."
219,Date of stay: July 2019,50,Exquisite...treated like ROYALTY❤️,"The founding principles of the Peninsula Brand were...exceed every expectation of every guest every time they visit! Create an experience that even ROYALS will marvel! Build gorgeous hotels with extravagant decor in chic locations that serve the finest food and provide service that is sure to thrill each guest as if they are ROYAL... even the ROYALS are smiling! When you arrive, you know you are in the finest hotel and a wave of emotions comes over you... your in for an experience of a lifetime! From the Rolls Royce house cars picking you up at the airport if you wish... to the staff greetings upon arrival and the daily graciousness and attentiveness to your every need! My experience was amazing as usual with an added story that so impressed me❤️ I wasn’t feeling well the next morning and hotel managers sent security and a nurse within minutes of my call to my room! They were amazing, thoughtful and caring! They checked on me all day. The following morning, I still wasn’t feeling great so they called a local VIP Dr close by and got me in for the 1st appt of the day... then they had provided a personal security guard to walk me over to the drs office and stay with me the whole time...he even asked if he should come in for the exam :), I smiled and said I’ll be ok! That’s the Peninsula and I absolutely love the hotel and staff❤️"
220,Date of stay: July 2018,50,Afternoon tea to line up for,"Lovely and delicious, but anticipate a line so come early.

It was my first time but my siblings have been there and so knew what to get thus everything I had was good. The scones with clotted cream are unforgettable, I had to write a review now since I recently had scones in another restaurant and this was a far cry and wish that these scones can easily be available where I live.

Will definitely line up again for afternoon tea the next time we're in HK."
221,Date of stay: May 2019,50,AMAZING !!!,"This was our first stop on a tour of China! What a start! This hotel is Amazing! World Class service! The suites are spacious, neat and beyond clean! Great location for shopping and enjoying the harbor area."
222,Date of stay: May 2019,50,First Class in Every Way!,Great experience at the Peninsula flagship. Rooms were impeccable - clean and modern. Great harbor views from rooms on upper floors. Nice indoor pool. Spa was top notch - great service. Enjoyed every aspect of this grand dame - highly recommended!
223,Date of stay: June 2019,50,World class service in iconic hotel,"I recently stayed at the Peninsula for two nights on my way back to the UK from Australia. Throughout my stay I experienced superb service where nothing was too much to ask and anything I requested was quickly supplied or responded to. My harbour view room offered state of the art technology, space and comfort. However the showstopper is the spectacular view of Hong Kong island - what a site to wake up to! I would like to make special mention of the service I received after I checked-out as I had a couple of hours to pass before my journey to the airport. Not only was I given complementary coffee (and cheesecake!) but I also received a small gift and was given access to the hotel's small museum. I was sorry to leave and will certainly return next time I am in Hong Kong. Special thanks to Hazel Tang, Guest relations Executive for all of her help."
224,Date of stay: June 2019,50,3rd Peninsula in 3 weeks!,"Our favorite hotels have to be The Peninsulas, and this one did not disappoint! We were checked in by Hazel Tang and from the moment she gave us our upgraded suite she took care of us like royalty. We told her it was our 40th Anniversary and she sent us a big bouquet of roses and peonies( she had asked me what my favorite flowers were when we talked about visiting the flower market. She bought us drinks and wine. She made sure we were taken care of in all the restaurants and bars. Our tables were always by the window so we could see the lite shows of Hong Kong at night.
Our room had a fireplace and telescope and all phone calls to the states were easily made from the room landline for free. The hotel like all the Peninsulas are magnificent. The service impeccable......even the housekeeping services lined up all our toiletries and folded our clothes!
The location was on The Kowloon side and perfectly, which is where vacationers should stay. The business trip people are better off on the Hong Kong side"
225,Date of stay: May 2019,50,Still the favorite in Hong Kong,"Having stayed at several Hong Kong luxury hotels, the Peninsula is still our favorite. Just completed a three night stay there for business and pleasure. Minor issues at check-in as it was booked on line through FHR AMX. Hotel did not understand that expedia is just the booking engine and that this was an FHR reservation. So no mention of amenities, no survey, no room upgrade to harbor view although the hotel was not full. However, once discussed with the team, the breakfast credit and additional credit for the hotel was extended. Room was very well appointed and clean. Appreciated the small touches like replacing the fruit that was missing each day. Dined in the Swiss restaurant as the other was closed for a private event. Had dim sum in Chinese restaurant and it was excellent. The host quickly found a table on a Saturday afternoon even though I hadn't made a reservation. Definitely superior hotel to others in the city although there are many nice ones."
226,Date of stay: November 2018,50,Perfectly spoiled,"Arrived in one of the hotel’s Rolls Royce limousines. Greeted at the limo by the front desk manager who apologized that our room was not yet available (9AM) and brought us to another room in the classic portion of the hotel to use as we waited until our room on a top floor of the tower was ready. The classic Room was top notch. Our tower Room offered a wonderful view of HK harbor and all its activity.
High Tea in the gorgeous lobby was very traditional and a cool place for people watching. A special treat was having lunch and relaxing for a few hours by the pool.
A bucket list item for me!"
227,Date of stay: April 2019,50,Out of the past,Wonderful old fashioned hotel that has survived all the latest trends and where service is valued. Senior staff a little self opinionated but polite. Clean and well managed a great experience before reverting to one of the mainstream for your next visit
228,Date of stay: May 2019,40,the legendary Peninsula,"It is arguably the best Hotel in town . I do not know Hong Kong much so I cannot judge. The room is super well appointed with lots of things I had never seen anywhere else - the make up table with the mirror that rises and illuminates at the touch of a button, the nail drier etc, etc. Also the bathroom is very well thought of and comfortable. We had a room at the back so I cannot comment on the harbour view , our view was quite ugly. The afternoon tea is nothing special to tell you the truth , I had better. The little sweets were all too sweet even though the scones were good and the sandwich ... hmmm I don't remember anything about them. It is pleasant that during the tea there is live music and very pleasant one and yes the cars parked outside are quite impressive."
229,Date of stay: May 2019,40,Unique level of personal service,"We stayed for two nights at the Peninsula Hotel. We had not suspected that there were so many clever ways to make a hotel room convenient: vanity mirror that rises out of the table, electrical sockets that rise out of the desktop, a tray for drinks that slides out of the sofa armrest, everything operated by a control pad from your bedside. The automatic shade kept the light out of the room in the mornings.

We signed up for the high tea in the lobby the next afternoon mainly because it was in such high demand and guests could make a reservation. Most reviewers loved the cakes and candies but they were too full of cream for us. Visually, they were hand-made masterpieces with bits of ultra-thin gold and silver making them pleasing to the eye. The orchestra played Rogers and Hammerstein and Burt Bacharach songs.

All of the staff, from welcomers to front desk to housekeeping, were highly professional and well trained. Cleaning every day was more than thorough.
This was our first stay at the Peninsula, and for us, it was very good."
230,Date of stay: April 2019,50,Exceptional,"A Harbor view room is the one to choose. Spectacular view. A stay there is worth the price. The facility was upgraded, so it now has all the electronic bells and whistles starting with the elevator/room-door entry/and every room interior ""switch"". The hotel has a choice of restaurants, all very good. The hotel is noted for it daily ""High Tea"". As a guest at the hotel, you won't have to wait in the always long line for your table.The hotel arcade offers a choice of shops."
231,Date of stay: May 2019,40,Everyone Here Is A VIP !!,"The Most prestigious Hotel to visit in Hong Kong mainly because of it's History & Tradition.
The welcome is Nice, The Front Desk team tell you every guest at The Peninsula is a VIP. Makes you feel good. As we entered we were extremely happy to learn the flowers here were of a high quality but more importantly REAL unlike everywhere else in Hong Kong.
Our room on floor 21 had an excellent view of Victoria Harbour. My reason for 4 stars is
Breakfast for 3 days of our stay was identical It was like Deja Vu every morning at breakfast.
The toilets have no health faucets. That is almost unacceptable since it is Hong Kong's best.
There is a signage about dress code at the Tea Lounge. To me that is like saying ...
Please don't relax on your holiday. Follow rules & be Prim & Proper. That kinda sucks.
As wonderful that their prim & proper service is.
We felt if tips are needed in the art of Hospitality The Peninsula Team or whosoever is in charge of the team needs to visit India once & observe how guests are actually pampered in almost every Hotel be it small or big.
Merely saying everyone is a VIP does not suffice. To make everyone feel special & important needs to be there.
Respect has to be given to every guest entering The Peninsula whether they drive in a ferrari or a plain Taxi. All are equal not just the ones who have a room inside. A tip should not buy respect.
A Guest in India is like God ... No matter who.
Everyone is doing their job very well, I am certain but it has to be done from the heart & not just from the head.
It is sad that we got a Nice Welcome but not as warm as is Needed."
232,Date of stay: April 2019,50,Very pleasant stay. Lovely view and what a lively lobby,"Stayed here once again. Love it. The best of Hong Kong. Five star with shiny golden stars. They have a fleet of rolls royces outside, but the real rolls Royce is this hotel itself. Amazing rooms with amazing harbor view, friendly concierge and very impressive views from the Felix lounge. Love this hotel in Hong Kong."
233,Date of stay: May 2019,50,Perfection amidst tradition and modernity,"Spent 2 nights at this legendary hotel and finally understood why people rave about it, and how it justifies its high prices. Yes, it is expensive, but I felt that it actually offered good value, in terms of the attention to detail in every aspect, and the excellent service.

I opted for a room in the main building, which is the historic building built in 1928 (according to the Hotel Channel which plays on the TV!), as I wanted a more ""authentic"" experience. These rooms occupy floors 3-6 of the Main Building, whilst the ""Tower"" rooms are on floors 17 - 27, with offices occupying the intermediate space. My room, 533, although of an entry-level ""Deluxe"" category, was exceptionally spacious, with a large entrance hall lined with drawers, closets and a spacious luggage bench. A pair of carved double doors opened to the bedroom, which featured a very comfortable king-size bed, a double sofa, writing desk, make-up desk and chair (with a purpose-built makeup mirror which glided electronically out from a recess) and a dining table with 2 chairs. The high ceilings amplified the space, with 2 large windows overlooking the famous Peninsula courtyard, fountain and the driveway parked with the hotel's signature green Rolls-Royce fleet.

I had anticipated some level of snootiness from the staff, but I was proven completely wrong. At every interaction, every staff member, young or old, was very friendly and polite, and I felt so welcome despite my casual attire.

The hotel was renovated several years ago, yet in my room on the 5th floor, everything looked brand-new, with not a single scratch or dent on any surface. The lighting, audio-visual equipment and curtains were operated via 2 iPad-style tablets (one each on the bedside and writing desk).

I slept soundly as the room seemed to be sound-proofed, while the curtains provided a total black-out experience, save for a sliver of light from under the bathroom door (there is a frosted window in the bathroom which does not have a curtain or covering). Wi-fi was fast, reliable and free.

Whilst the lobby was often busy, the corridors of my floor were consistently deserted, which made for a very private and exclusive atmosphere. I never even saw a single housekeeper's trolley.

Sadly, due to commitments with friends, I did not have the opportunity to sample any of the food and beverage outlets, although I did enjoy swimming every morning in the large 20-metre long pool, which was very well heated (some might say over-heated, especially if, like me, you swim multiple laps for exercise), with floor-to-ceiling windows facing the famous Hong Kong harbour and island skyline.

The lobby was simply stunning, with gilded ceilings, an orchestra which serenaded guests every afternoon tea and evening, surrounded by the glittering displays of the adjacent jewellery boutiques. Noticeably, there was a long queue for the famous Peninsula afternoon tea every day, and this was a slightly jarring note in an otherwise beautiful and elegant space.

As the Peninsula is situated in the heart of the very hectic Tsim Sha Tsui commercial precinct, it was always a pleasure to step out of that bustle into the hushed and cool surrounds of the hotel. Directly opposite the rear entrance of the hotel is the Tsim Sha Tsui subway station. The hotel's Rolls-Royce airport transfer service costs HKD 1,800 per trip - not cheap, but considering that it is a circa-45 minute drive in such an expensive and luxurious vehicle, it is something which I will consider for my next visit, as well as perhaps a room in the considerably more expensive Tower.

I came away from my visit feeling thoroughly pampered and relaxed, and cannot recommend this stunning property enough."
234,Date of stay: April 2019,50,SPECTACULAR. ICONIC!,"The Peninsula Kowloon, is one of the most iconic hotels of its kind in the world.

Beautiful location across the promenade, glitzy and glam setting, enchanting ambiance, British flair with a Hong Kong touch. What’s not to love?

Centrally located on Tsim Tsa Tsui and right across the HK Space Museum, you have to try The Peninsula’s afternoon tea. Prices are high as any fancy place in HK but it’s an experience you’ll cherish forever. You’re looking at $100 USD per person.

Have coffee in their lobby if you don’t want to spend a hundred dollars. Enjoy the classy yet wondrous interior, the splendid decor, opulent chandeliers and spacious seating areas.

Free hotel Wifi for all hotel visitors or guests.

You won’t be disappointed."
235,Date of stay: March 2019,50,Very comfortable hotel,"This hotel includes several restaurants, a nice fitness center, spa, and is located in the heart of the hustle and bustle of the city. Upon check in, we were escorted to our room and shown the various features of the space (everything is controlled wirelessly with pads that are strategically located). Our reservation came with breakfast which was a nice buffet. Shopping malls, McDonalds, Pizza Hut, as well as various Chinese and Korean restaurants are nearby. Be prepared for the crowded sidewalks. This hotel is a nice respite from the busy outdoor experience. You will feel appreciated as a guest if you stay at this hotel."
236,Date of stay: January 2019,50,Simply superb,"There really is nothing to fault with this hotel. The Rolls Royce car service is well worth the money and whisks you from the aircraft all the way through the airport to your car. The amazing team at the hotel are all ready and waiting for your arrival and check in is a non event.

The room is wonderful. Impeccably furnished and decorated, capturing the essence of Hong Kong and with every amenity you could wish for. The bathrooms are similarly opulent with a separate shower and tub, and a dressing area with wonderful toiletries.

The view is stunning, right across the harbour to Hong Kong island, although admittedly not all of the rooms can offer this view.

We used the spa. Again, one of the best I’ve experienced with a wonderful pool overlooking the harbour, and numerous hot and cold plunge pools, a steam room and sauna.

As is often the case with hotels of this standard, the its the team that really make the difference. It’s a spectacular hotel with wonderful amenities but the level of training and service is exemplary, and it showed with every single member of the team with whom I had the pleasure to interact.

The only proble is, I simply won’t stay anywhere else on all my future trips to Hong Kong!"
237,Date of stay: April 2019,50,Highlight . again and again,"The Pen is THE hotel in Hongkong and I was simply excited to stay there again. The rooms are newly refurbished and cosy, modern, functional and luxurious. I liked the view to the harbour very much and I personally think it is worth the extra price.

Food is delicious, staff very attentative and helpful, the pool breathtaking."
238,Date of stay: March 2019,50,One of the most luxurious hotels in the world,"It's all been said before, but I'll add my comments as well...If you can afford to splurge to stay here, it's an absolutely amazing property. Over the top luxury and a small army of cheerful helpful staff.

We had an airport transfer, so a Rolls Royce drove us, which was fun. On arrival, they skipped checkin at the front desk and took us directly to our amazing room, where they did the checkin process there.

If you want one of the most amazing hotel rooms in the world, pay extra for a suite with views on three sides on an upper floor. You get a wall of windows looking out over Hong Kong bay on the front of the room. The side of the room looks out over another part of the bay, and the back of the room/bathroom looks out over Kowloon. It's such an amazing view day and night that you won't want to leave the room. It's great to just sit there and soak in the view.

The room even has a little shoe closet where you can leave your shoes to be polished overnight for no charge. When you're walking and traveling a lot, that's a nice benefit.

The lobby is immense and gorgeous. Our room was luxurious and comfortable. The AC was super cold, which is appreciated when it's so hot and humid outside. Room darkening shades, so blissfully dark and quiet at night. The bathroom was gorgeous, with a soaking tub set up to enjoy the city views.

Breakfast was great. Huge selection of top quality items.

The Star Ferry is a 5-10 minute walk from the hotel, so super convenient to cross over to Hong Kong.

The only downside to this hotel is it's expensive, but you really feel that you get what you pay for here. I look for excuses to go to Hong Kong just to stay here."
239,Date of stay: April 2019,50,Deservedly Grand Dame,"Pampered from the time we arrive. Great guest recognition, addressed by name wherever we went. Intuitive room controls from Ipad type control. Super strong water pressure for a shower, very refreshing.
Tradition and experience speaks for itself. 30 years gap since we enjoyed the must-do Afternoon tea in the lobby lounge, did not disappoint.
Staff service impeccable, attentive and very experienced. I casually glanced at one of the wait staff, he immediately knew what I wanted.
Short but lovely stay. This is one of those places that you wished you stayed a few days more and really take in the classic old school glam, which is rare these days."
240,Date of stay: February 2019,50,Very enjoyable end to a holiday,"Stayed here in the way back from Australia to the U.K., when stopping over for a few days to break the journey. An experience for sure, and a good location. Impeccable service, though the lobby gets very busy with the afternoon tea service!

Staff attentive but not intrusive, and room immaculate - our suite didn’t have a particularly special view, but was large, comfortable and well equipped.

The Rolls Royce transfer to the airport was a last minute end of holiday extravagance, but actually not *that* expensive. Would definitely stay here again!"
241,Date of stay: October 2018,50,Amazing hotel,"Ask the hotel to pick you up at the gate of your airplane and to take you all the way to your Rolls Royce…back to the hotel! check-in your harbor view suite and have a Chinese breakfast with Dim-Sum etc…amazing. Spring Moon restaurant is very good as well as the Japanese restaurant ""Imasa"". You need to make a tour in their ""mini"" clubman with driver, it's a great way to discover Hong Long and then finish you day at the Spa..."
242,Date of stay: April 2019,10,Asia April 2019,"After staying in 5 hotels on a 15 day business trip to SE Asia, The Peninsula was the most expensive (by 100%!) and least desirable experience. The lobby was having a sewer issue and constantly smelled, when questioning the staff they kind of laughed and said this is what happens with an old building! Staff at the restaurants and bars was not friendly to the point you didn't want to use. The Davidoff Cigar store / lounge might have been the worst. Bellmen were very good and the rooms were nice."
243,Date of stay: April 2019,50,Great gym for free weights and exercising,"Much is written of the Peninsula Hotel rooms, food, beverages, service and arcade shopping so I have chosen to introduce the gym to readers fortunate to stay at this grand, premier Asian hotel.

The photos show the broad range of equipment available for guests from free weights, machines for legs, back and upper body together with running, rowing and bike exercise machines.

Hot and cold plunge pools, steam rooms and sauna are located in the locker/changing rooms.

Children from the age of 12 years with 24 hour availability.

A short walk up a flight of steps from the gym is an 18m swimming pool on the 8th floor, with opening hours 6am to 9.30pm and great views of Hong Kong harbour, a great place to relax with family."
244,Date of stay: April 2019,50,Afternoon tea excellence!,"Over the years, popped into the Penninsula for Afternoon Tea when visiting Hong Kong. This year, I went with two friends, one of whom had never been. Always arrive around 1.30pm so near or at front of queue for seating from 2pm. Airy and spacious, pleasant music but the main event was the afternoon tea itself. Savouries and sandwiches tasty and fresh, scones warm with good amount if cream and jam; tea with regular hot water refills. Always a struggle to finish (in our case) the small cake and biscuit selection so you can ask to take away.
It's your meal for the day so wisdom says go easy on your breakfast. An experience all ages enjoy - previous visits have delighted my 3 children and my wife."
245,Date of stay: April 2019,50,Always love Peninsula HK,"I came back to Peninsula HK again. This is very fast trip for me, I decided to went to HK around 10 Apr and book the hotel the next day.

The reservation team has a good information for me.

I arrived HK and went to Peninsula HK with signature Rolls Royce pick up which is very perfect transfer.

I requested the room that I used to stay before (2313) and the staffs also provided me that room. I really appreciated that because it means a lot to me more than you can imagine. I really want to say millions of Thanks for you.

Bryan, the staff who escorted me to the room did his job very best, I really want to give him many thanks too.

The room is still perfect for me, the view, the bed, the amenity and everything are all perfect.

I have a chance to have dinner at Chesa and lunch at Spring Moon. They are really great. The staffs, the service and the food are really fabulous.

I got complimentary late check out which really surprised me.

Summarizingly, Peninsula HK is still the best hotel for me in HK.
I love love love this hotel :)"
246,Date of stay: March 2019,50,The only place I'll stay in Hong Kong!,"Another wonderful experience. Always attentive to detail. As I arrived on at an unpleasantly early hour (6 am) after a long flight, the staff had thoughtfully arranged a light breakfast in my room (guessing I probably didn't want to head downstairs and would rather relax in place). What other hotels think about the needs of their guests like this? True luxury is having your needs taken care of before you even think to ask.

Rooms are wonderfully appointed and everything works well. The views are unbeatable.

Went to visit a friend at the new Rosewood to see if I was missing anything. I certainly wasn't. Overdesigned and unorganized.

I'll happily keep staying at the Peninsula, thank you."
247,Date of stay: March 2019,50,Nice to reunite,"Service, Class, Refinement.
These are what you come to the Peninsula Hong Kong for. For four generations our family has been staying in this iconic place which should be a world heritage site for setting the standard in hotel service. While the lobby and other outlets are indeed noteworthy, one has to look beyond these and focus into the deeper core values and institutional tenets which a guest can feel when staying here. These values, class, service, refinement, space, attention to detail... were distilled from a long span of excellent hotel experience. It was nice to see Mr. and Mrs. Bieger. They are excellent Ambassadors of the Peninsula name. While times do call for change, the values mentioned have endured the test of time and should never be tampered with. My congratulations."
248,Date of stay: March 2019,50,"Wonderful hotel, highly recommended","I stayed here for 2 nights whilst visiting Hong Kong with friends. The visit was spectacular. The room was luxurious and very well laid out. The bed was very comfortable and I didn’t want to leave it! Some lovely touches included a wireless phone charging pad by the bed and different levels of mood lighting. The turn down service was spot on and all the staff were super helpful and lovely. We did have food there one evening, which was expensive but that’s to be expected. I’d definitely recommend this hotel experience."
249,Date of stay: March 2019,50,Wow!,"We stayed at the peninsula for three nights prior to departing Hong Kong on a cruise. We arrived in the evening following a 24 hour two Legg trip to Hong Kong from Austin. We were met at baggage claim by a peninsula representative and escorted to the curb where a beautiful Rolls Royce was waiting. After a 25 minute ride to Kowloon we were met in the lobby and escorted to our corner Harbor Front suite. We completed check in sitting in our living room and looking out over Victoria Harbour which was lit up much of the time with the nightly light show from the buildings across the harbor. Absolutely everything from that point on was perfect. Our suite was decadent with a 180° view. We had breakfast one morning downstairs in the elegant dining room that would later in the afternoon be jammed with people waiting for afternoon tea. Breakfast though was quiet and intimate, served from a menu. We also enjoyed breakfast on the rooftop dining area where a massive international buffet was available. This was a glamorous albeit expensive first stop in Asia and a perfect place from which to explore Kowloon, Victoria Harbour, and launch a tour of Hong Kong city across the harbor."
250,Date of stay: March 2019,50,Complete Perfection from Start to Finish,"This was my 10th visit to the Peninsula, Hong Kong. I came here to celebrate my 50th birthday. People often ask me why I continue to return to Hong Kong ? time and again..The reason I love returning to Hong Kong is because I continue to return to the most wonderful hotel on the planet. I am not exaggerating
when I say that the Peninsula in Hong Kong is PERFECT in every way, The way the concierge staff, management of rooms, spa and other teams work together to make sure your arrival and departure are flawless is truly amazing. There is never any error or chance of any detail left unmanaged. Before I arrive, I make my room request and Mateo Gonzalez who has been working at the Peninsula as long as I started coming here always does his best to execute my desired room if it is available ..I have a favorite room for some reason its like coming home to a room I am familiar with. I enjoy the tower rooms as well as rooms in the original building.
Anyway, its always nice to have my request met and I am happy no matter what. the concierge team make sure that I am handled before and during my stay and I really appreciate all their efforts to make sure I am on track to be where I need to be and give me informed details to help me enjoy my trip more. The staff in the spa including Sumie, Genevieve and Winnie are so welcoming and loving and professional and time after time continue to impress me with their acts of kindness

The beautiful pool and lovely facilities are the cleanest , shiniest and most luxurious I have ever known. Everything sparkles from top to bottom at the Peninsula in Hong Kong from the floors to the people.

The amenities of the hotel from the pool, to the shops and the dining and the spa are so wonderful you almost don't want to walk outside, When I go out for my daily activities it is always the best part to return to the hotel and smell the fragrance of the lobby and surroundings.

To the guest relations team including Hazel and Marble and Henry and the director of guest relations, thank you so much for being spectacular in every way and making me feel special The care and kindness that is extended to the guests is so top notch its impossible to find pleasure in other travels to compare to the efforts made here in Hong Kong.

Al the way from the house keeping staff to the hotel manager Mr. Oba, thank you so much for being the best at what you do and making the Peninsula in Hong Kong one of the best travel experiences I have had time after time. I will always return and always be grateful to the perfection you extend to your guests. The attention to detail and the professionalism is unbelievable.

To anyone considering a trip to Hong Kong. Splurge on The Peninsula, it will make your experience in Hong Kong more enjoyable and more memorable. No other hotel in the world has impressed me as much as the PEN HK"
251,Date of stay: January 2019,40,Amazing Experience!,"It was a great experience to stay in the Peninsula Hong Kong. Very professional hospitality and the rooms are beautiful, the decoration feel special.

The beds are very pleasant and the rooms are very clean.

Located at the Victoria Harbour with its Laser Light Show, and right next to Tsim Sha Tsui's famous shopping Arcade, the Peninsula is perfectly located."
252,Date of stay: March 2019,50,Phil Australia 🇦🇺,Have been to hong kong many times over the years always gone past the peninsula and said i must stay here but or for one thing or another never got around to it. Well am i glad i did this time wow 😲 if your looking for class this place is it i booked a harbour view and was upgraded to a harbour view suite amazing views all along the hong kong harbour. The spa is a must high tea is another i went all the way and had the rolls Royce airport transfers !!! The hotel has so many good restaurants 😋😋😋 by no means is it cheap but you get what you pay for. Its a big yes from me 👍🏻
253,Date of stay: February 2019,50,Made our stay special,"This was not coming home to a place, this was coming back to a palace. The service and attention to detail of the staff members were professional not to mention the room service. Everything was running smoothly and we had to worry about nothing. Peninsula's atmosphere is very relaxed and comfortable, not noisy at all and good to enjoy some time after visiting the city, the rush hour was horrible but with the private transport we felt good. We'd come back again and highly recommend a stay here"
254,Date of stay: February 2019,50,"Excellent stay, pleased with just about everything. Wonderful end to a holiday","Enjoyed the hotel, the staff are excellent, the service superb and hotel facilities top notch.

Excellent breakfast, everything that anyone could possibly want.

Excellent location.

View from the Felix restaurant over the harbour, provided excellent view of the harbour and harbour light show.

Spa never crowded and with excellent facilities.

Excellent location,

One minor complaint, dealt with efficiently and quickly, to my complete satisfaction.

Afternoon tea, excellent,

Hotel Rolls Royce’s, a blast from the past,

Hotel room, both traditional but with all modern wireless WiFi facilities. Room a bit dark, so get a harbour view if available, but genuinely no complaints."
